target,split_view,configuration,folds,mean_valid_r2,sd_valid_r2,mean_valid_mae,mean_valid_rmse,mean_valid_minus_null_r2,positive_null_gap_folds,global_non_null_viability
shear_modulus_gv,chemical_system_group_4fold,SHAM_B_E,4,-0.08143741975451269,0.056495928991339525,28.81407325778797,36.38549936009086,0.10940898972765112,3,False
shear_modulus_gv,chemical_system_group_4fold,SHAM_C,4,-0.003693662860005942,0.041225052599489,26.950530542721403,35.028590226088006,0.09324254610115013,3,False
shear_modulus_gv,jid_order_contiguous_4fold,B,4,-0.04978903820533792,0.1513165579519885,27.68133755295138,35.73824973330187,0.044992040991439386,3,False
shear_modulus_gv,jid_order_contiguous_4fold,BASE,4,0.008299876639996429,0.12202598977578015,26.66423548874943,34.696975413315116,0.07905070995991281,3,True
shear_modulus_gv,jid_order_contiguous_4fold,B_E,4,0.09536834390576857,0.29168058632684213,25.19457697936495,32.64587578215854,0.22331938251040626,3,True
shear_modulus_gv,jid_order_contiguous_4fold,C,4,0.32894947916463946,0.1381162024432124,21.13846295510134,28.317471770270956,0.41981965890407646,4,True
shear_modulus_gv,jid_order_contiguous_4fold,C_E,4,0.34123313330381144,0.1630535894602715,20.594173113033783,27.98915264446005,0.509578267956673,4,True
shear_modulus_gv,jid_order_contiguous_4fold,C_SHAM_E,4,0.2779987652986816,0.16789290218657862,22.22692663263198,29.306505382795386,0.4684209504443638,4,True
shear_modulus_gv,jid_order_contiguous_4fold,E,4,0.1248350722229759,0.2931739855677563,24.62195777411132,32.08466389645767,0.21774327542965916,3,True
shear_modulus_gv,jid_order_contiguous_4fold,SHAM_B_E,4,-0.09533085325671314,0.1619046148779751,27.823337176202102,36.437700712873834,0.13539988413108306,4,False
shear_modulus_gv,jid_order_contiguous_4fold,SHAM_C,4,0.00022993956197142618,0.1477926149671397,26.71434295804154,34.77806113018128,0.10707489652454072,3,True
