target,cohort,lane,scale,split_view,seed,model,rows,baseline_r2,baseline_mae,target_permutation_r2_mean,r2_minus_null
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,11,extra_trees,13028,-26.53237138309313,76224916.47787309,-63.64946021661868,37.11708883352554
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,11,hist_gradient_boosting,13028,-2.3592161967553102,62322268.500810735,-2.7030826394098773,0.343866442654567
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,23,ridge,13028,-0.0308934178859661,95061369.83417228,-0.1223167651375507,0.0914233472515846
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,23,random_forest,13028,-13.110337787962155,148490462.48708174,-10.797631571825866,-2.3127062161362897
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,23,extra_trees,13028,-2.968539335809588,74439560.69218963,-6.449896875609607,3.481357539800019
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,23,hist_gradient_boosting,13028,-0.1421204099950612,68315427.79496746,-0.1464765296676915,0.0043561196726302
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,37,ridge,13028,-0.0004404446183086,200158125.55879933,-0.0004430117537975,2.567135488954831e-06
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,37,random_forest,13028,-0.0002522381197451,205195789.8638806,-0.0009707106906374,0.0007184725708923
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,37,extra_trees,13028,-8.431456648572144e-05,202713051.3766735,-0.0006115843260274,0.0005272697595417
bulk_modulus,maximum_coverage,causal_common,full,chemical_system_group,37,hist_gradient_boosting,13028,0.0007721868337354,198919516.7266868,-0.0004002839733101,0.0011724708070456
shear_modulus,within_source_common,causal_common,full,row_random,11,ridge,13021,-0.0038011010766105,16099841000.76161,-0.0091914782921931,0.0053903772155825
shear_modulus,within_source_common,causal_common,full,row_random,11,random_forest,13021,-0.0408810377711885,7501575627.371515,-0.8520017409497681,0.8111207031785795
shear_modulus,within_source_common,causal_common,full,row_random,11,extra_trees,13021,-0.1314760281607432,10560516291.167898,-0.6147679998452081,0.4832919716844649
shear_modulus,within_source_common,causal_common,full,row_random,11,hist_gradient_boosting,13021,-0.014970205005327,11201171126.991262,-0.0181793097282988,0.0032091047229717
shear_modulus,within_source_common,causal_common,full,row_random,23,ridge,13021,-207143586.5024112,10749369504.197811,-380110648.6516454,172967062.14923424
shear_modulus,within_source_common,causal_common,full,row_random,23,random_forest,13021,-9931727056.375109,4237111197.3606353,-62127270063.63953,52195543007.26442
shear_modulus,within_source_common,causal_common,full,row_random,23,extra_trees,13021,-9216860279.730503,7547281194.27983,-35431393832.31395,26214533552.583443
shear_modulus,within_source_common,causal_common,full,row_random,23,hist_gradient_boosting,13021,-2138049845.401744,7195787204.187312,-917371153.206816,-1220678692.1949277
shear_modulus,within_source_common,causal_common,full,row_random,37,ridge,13021,-0.9884294767285232,11040244701.832712,-2.929929268956457,1.9414997922279336
shear_modulus,within_source_common,causal_common,full,row_random,37,random_forest,13021,-0.365280296286613,694844830.946248,-328.2515449764222,327.88626468013564
shear_modulus,within_source_common,causal_common,full,row_random,37,extra_trees,13021,-54.00729754031128,7741846486.924891,-121.53368816505976,67.52639062474847
